id,city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft,source,created_at,updated_at,is_active
1,Mumbai,Bandra,Bandra West,1200,2,Apartment,Semi-Furnished,18500000,15416.666666666666,CSV_Import,2025-06-11 21:01:45.49765,2025-06-11 21:01:45.497655,t
2,Mumbai,Bandra,Bandra East,950,2,Apartment,Fully Furnished,14200000,14947.368421052632,CSV_Import,2025-06-11 21:01:45.497656,2025-06-11 21:01:45.497657,t
3,Mumbai,Andheri,Andheri West,1100,2,Apartment,Unfurnished,12800000,11636.363636363636,CSV_Import,2025-06-11 21:01:45.49766,2025-06-11 21:01:45.49766,t
4,Mumbai,Andheri,Andheri East,1050,2,Apartment,Semi-Furnished,11200000,10666.666666666666,CSV_Import,2025-06-11 21:01:45.497661,2025-06-11 21:01:45.497662,t
5,Mumbai,Powai,Hiranandani Gardens,1400,3,Apartment,Fully Furnished,19500000,13928.57142857143,CSV_Import,2025-06-11 21:01:45.497663,2025-06-11 21:01:45.497664,t
6,Mumbai,Powai,Central Powai,1250,3,Apartment,Semi-Furnished,16800000,13440,CSV_Import,2025-06-11 21:01:45.497664,2025-06-11 21:01:45.497665,t
7,Mumbai,Thane,Ghodbunder Road,1300,3,Apartment,Unfurnished,8900000,6846.153846153846,CSV_Import,2025-06-11 21:01:45.497665,2025-06-11 21:01:45.497666,t
8,Mumbai,Thane,Kasarvadavali,1150,2,Apartment,Semi-Furnished,7800000,6782.608695652174,CSV_Import,2025-06-11 21:01:45.497666,2025-06-11 21:01:45.497667,t
9,Mumbai,Malad,Malad West,1000,2,Apartment,Unfurnished,9800000,9800,CSV_Import,2025-06-11 21:01:45.497667,2025-06-11 21:01:45.497668,t
10,Mumbai,Malad,Malad East,950,2,Apartment,Semi-Furnished,8600000,9052.631578947368,CSV_Import,2025-06-11 21:01:45.497668,2025-06-11 21:01:45.497669,t
11,Mumbai,Borivali,Borivali West,1200,2,Apartment,Unfurnished,9200000,7666.666666666667,CSV_Import,2025-06-11 21:01:45.49767,2025-06-11 21:01:45.49767,t
12,Mumbai,Borivali,Borivali East,1100,2,Apartment,Semi-Furnished,8400000,7636.363636363636,CSV_Import,2025-06-11 21:01:45.497671,2025-06-11 21:01:45.497671,t
13,Mumbai,Kandivali,Kandivali West,1050,2,Apartment,Unfurnished,8800000,8380.952380952382,CSV_Import,2025-06-11 21:01:45.497672,2025-06-11 21:01:45.497672,t
